2026-08-28 14:35:40 | INFO     | main | Bot Web Scanner de Supermercados — iniciando execução
2026-08-28 14:35:53 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Dias-Mais-Abr2026-WEB_15.webp
2026-08-28 14:35:53 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Dias-Mais-Abr2026-WEB_17.webp
2026-08-28 14:35:53 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Dias-Mais-Abr2026-WEB_4.webp
2026-08-28 14:35:53 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Dias-Mais-Abr2026-WEB_5.webp
2026-08-28 14:35:53 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Dias-Mais-Abr2026-WEB_6.webp
2026-08-28 14:35:53 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Dias-Mais-Abr2026-WEB_7.webp
2026-08-28 14:35:54 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Dias-Mais-Abr2026-WEB_8.webp
2026-08-28 14:35:54 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Dias-Mais-Abr2026-WEB_9.webp
2026-08-28 14:35:54 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_1-261x300.webp
2026-08-28 14:35:54 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_10-261x300.webp
2026-08-28 14:35:54 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_11-261x300.webp
2026-08-28 14:35:54 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_12-261x300.webp
2026-08-28 14:35:54 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_13-261x300.webp
2026-08-28 14:35:54 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_14-261x300.webp
2026-08-28 14:35:54 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_15-261x300.webp
2026-08-28 14:35:54 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_16-261x300.webp
2026-08-28 14:35:54 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_17-261x300.webp
2026-08-28 14:35:55 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_18-261x300.webp
2026-08-28 14:35:55 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_19-261x300.webp
2026-08-28 14:35:55 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_2-261x300.webp
2026-08-28 14:35:55 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_20-261x300.webp
2026-08-28 14:35:55 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_21-261x300.webp
2026-08-28 14:35:55 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_22-261x300.webp
2026-08-28 14:35:55 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_23-261x300.webp
2026-08-28 14:35:55 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_24-261x300.webp
2026-08-28 14:35:56 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_25-261x300.webp
2026-08-28 14:35:56 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_26-261x300.webp
2026-08-28 14:35:56 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_27-261x300.webp
2026-08-28 14:35:56 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_28-261x300.webp
2026-08-28 14:35:56 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_29-261x300.webp
2026-08-28 14:35:56 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_3-261x300.webp
2026-08-28 14:35:56 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_30-261x300.webp
2026-08-28 14:35:56 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_31-261x300.webp
2026-08-28 14:35:56 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_32-261x300.webp
2026-08-28 14:35:57 | DEBUG    | scraper.image_capture | Imagem salva: C:\Users\USUARIO\Documents\Projetos\supermarket_scanner\output\imagens_capturadas\rede_serve_mais\Fecha-Mes-Ago2026-WEB_33-261x300.webp
